Variety,Activity,Days to flowering,Date sown
Ciherang sub-1,Maintenance breeding,"9, 4, 2018","6, 14, 2018"
Radha-14,Maintenance breeding,"9, 18, 2018","6, 13, 2018"
Bahuguni-2,Demonstration,"9, 18, 2018","6, 2, 2018"
Bahuguni-1,Demonstration,"9, 12, 2018","6, 2, 2018"
Ciherang sub-1,Demonstration,"8, 30, 2018","6, 2, 2018"
Hardinath-3,Demonstration,"8, 28, 2018","6, 2, 2018"
Radha-4,Demonstration,"8, 25, 2018","6, 2, 2018"
NR-2168-44-2-1-1-1-2-1-1-1,Cafeteria,"9, 8, 2018","6, 8, 2018"
NR-2157-122-1-2-1-1-1,Cafeteria,"9, 10, 2018","6, 8, 2018"
IR-64146,Cafeteria,"9, 12, 2018","6, 8, 2018"
Sabitri,Cafeteria,"9, 21, 2018","6, 8, 2018"
NR-2158-13-1-2-4-5,Cafeteria,"9, 16, 2018","6, 8, 2018"
NR-2157-144-1-3-1-1,Cafeteria,"9, 10, 2018","6, 8, 2018"
Black rice,Cafeteria,"8, 20, 2018","6, 8, 2018"
Bahuguni-1,Cafeteria,"9, 12, 2018","6, 8, 2018"
Bahuguni-2,Cafeteria,"9, 20, 2018","6, 8, 2018"
Supreme moti,Large plot,"9, 25, 2018","6, 2, 2018"
Arise 6444 Gold,Large plot,"9, 29, 2018","6, 23, 2018"
